jdate,mean.temp.F,mean.temp.C,high.F,high.C,time,low.F,low.C,time,heat.deg.days,cool.deg.days,rain,avg.wind.speed,high,time,dom.dir
233,75.3,24.05555556,85.3,29.61111111,4:00p,67.1,19.5,4:30a,0,10.3,0.02,0.3,6,1:00p,E
234,73.5,23.05555556,79.6,26.44444444,11:30a,67.3,19.61111111,5:30a,0,8.5,0.01,0.1,5,12:30p,SSE
235,79.2,26.22222222,89.3,31.83333333,5:30p,71.3,21.83333333,6:00a,0,14.2,0.03,1.4,12,1:30p,WSW
236,78,25.55555556,89.3,31.83333333,3:00p,66.6,19.22222222,5:30a,0,13,0,0.6,9,1:30p,w
237,79,26.11111111,93.8,34.33333333,3:30p,66.4,19.11111111,5:00a,0,14,0,0.1,6,6:30p,ESE
238,78.6,25.88888889,92.7,33.72222222,3:30p,69.4,20.77777778,4:30a,0,13.6,0,0.4,11,3:30p,s
239,77.8,25.44444444,91.8,33.22222222,1:00p,68.3,20.16666667,5:00a,0,12.8,0,0.2,12,3:00p,s
240,77.2,25.11111111,87.2,30.66666667,3:00p,69.1,20.61111111,6:00a,0,12.2,0.01,1,12,3:30p,NE
241,75,23.88888889,83.8,28.77777778,4:00p,69.1,20.61111111,6:30a,0,10,0,0.3,5,9:00a,NE
242,77.1,25.05555556,89.9,32.16666667,3:00p,68.8,20.44444444,5:30a,0,12.1,0.04,0.9,11,12:30p,SW
243,74.3,23.5,80.9,27.16666667,4:00p,67.6,19.77777778,6:00a,0,9.3,0.02,0,4,9:00a,NNE
244,70.9,21.61111111,76.5,24.72222222,12:00p,64.7,18.16666667,10:00p,0,5.9,1.67,1.1,17,12:00m,NNE
245,65.9,18.83333333,76.8,24.88888889,3:00p,53.3,11.83333333,12:00m,2.6,3.5,0,1.5,17,2:00p,w
246,62.7,17.05555556,75.1,23.94444444,3:00p,49.2,9.555555556,6:00a,5.3,3.1,0.01,0.6,11,2:30p,NNW
247,65.7,18.72222222,78.8,26,4:30p,53.8,12.11111111,3:30a,3.8,4.5,0,0.3,9,2:00p,s
248,67.5,19.72222222,72.7,22.61111111,3:30p,59,15,1:30a,1.1,3.6,0.04,0.1,6,2:30p,s
249,71.7,22.05555556,82.2,27.88888889,3:00p,58.9,14.94444444,12:00m,0.7,7.4,0.01,1.6,14,11:30a,SW
250,69.5,20.83333333,85.3,29.61111111,3:00p,55.4,13,6:30a,2.8,7.2,0.01,0.6,11,5:00p,SW
251,74.3,23.5,87.4,30.77777778,3:30p,59.5,15.27777778,12:30a,0.9,10.2,0.35,0.8,12,10:30p,s
252,67.8,19.88888889,77.7,25.38888889,4:30p,58.9,14.94444444,10:30p,0.7,3.4,0.14,0.4,5,11:00a,WNW
253,63.7,17.61111111,74.2,23.44444444,4:30p,52.9,11.61111111,12:00m,3.8,2.5,0,1.5,14,11:30a,w
254,64.5,18.05555556,78.3,25.72222222,3:00p,49.2,9.555555556,6:00a,4.8,4.4,0.01,0.6,10,11:00a,s
255,69.9,21.05555556,85.1,29.5,2:00p,55.6,13.11111111,4:30a,2.5,7.5,0,0.8,13,1:00p,s
256,73.5,23.05555556,84.5,29.16666667,2:30p,62.9,17.16666667,5:30a,0.1,8.7,0,1.3,14,1:30p,SW
257,74.4,23.55555556,87.2,30.66666667,1:00p,63.1,17.27777778,6:00a,0.2,9.6,0,0.2,6,12:30p,ESE
258,75.1,23.94444444,88.2,31.22222222,1:30p,62.6,17,6:00a,0.2,10.2,0,0.9,14,1:30p,s
259,72.7,22.61111111,81.8,27.66666667,12:30p,66.6,19.22222222,4:30a,0,7.7,0.28,0.6,11,5:30p,NNE
260,72.4,22.44444444,78.6,25.88888889,4:00p,68.1,20.05555556,10:30p,0,7.4,0.01,0.5,9,9:30a,NE
261,72,22.22222222,84.5,29.16666667,2:30p,64.3,17.94444444,3:30a,0.1,7,0.01,0.1,6,12:30p,SW
262,67.3,19.61111111,79,26.11111111,2:30p,55.3,12.94444444,11:00p,2.1,4.4,0,0.6,7,9:00a,NNW
263,64.9,18.27777778,76.8,24.88888889,12:00p,51.6,10.88888889,6:00a,4,3.9,0.01,0.7,10,1:30p,ENE
